table with row headers in column B and column headers in rows 3 through 4,,,,,
"Annual Estimates of Resident Population Change for Incorporated Places of 50,000 or More in 2018, Ranked by Percent Change: July 1, 2018 to July 1, 2019",,,,,
Rank,Geographic Area,Population Estimate,,"Change, 2018 to 2019",
170,"San Antonio city, Texas","1,530,016","1,547,253","17,237",1.1
171,"Fayetteville city, Arkansas","86,615","87,590",975,1.1
172,"Eugene city, Oregon","170,701","172,622","1,921",1.1
173,"Jurupa Valley city, California","108,314","109,527","1,213",1.1
174,"Brentwood city, California","63,760","64,474",714,1.1
175,"Miami city, Florida","462,819","467,963","5,144",1.1
176,"Minneapolis city, Minnesota","424,903","429,606","4,703",1.1
177,"Oklahoma City city, Oklahoma","647,912","655,057","7,145",1.1
178,"Fort Wayne city, Indiana","267,460","270,402","2,942",1.1
179,"Greeley city, Colorado","107,475","108,649","1,174",1.1
180,"Chapel Hill town, North Carolina","63,367","64,051",684,1.1
181,"Layton city, Utah","77,181","78,014",833,1.1
182,"Redding city, California","91,606","92,590",984,1.1
183,"Charleston city, South Carolina","136,111","137,566","1,455",1.1
184,"Lynchburg city, Virginia","81,309","82,168",859,1.1
185,"Champaign city, Illinois","87,994","88,909",915,1.0
186,"Broken Arrow city, Oklahoma","109,068","110,198","1,130",1.0
187,"Lawrence city, Kansas","97,187","98,193","1,006",1.0
188,"Chesapeake city, Virginia","242,359","244,835","2,476",1.0
189,"Raleigh city, North Carolina","469,314","474,069","4,755",1.0
190,"Jacksonville city, Florida","902,437","911,507","9,070",1.0
191,"Salem city, Oregon","172,646","174,365","1,719",1.0
192,"San Angelo city, Texas","100,009","101,004",995,1.0
193,"Marysville city, Washington","69,606","70,298",692,1.0
194,"Santa Clara city, California","129,085","130,365","1,280",1.0
195,"Sparks city, Nevada","103,979","105,006","1,027",1.0
196,"Moore city, Oklahoma","61,452","62,055",603,1.0
197,"Eden Prairie city, Minnesota","64,263","64,893",630,1.0
198,"Waco city, Texas","137,886","139,236","1,350",1.0
199,"Glendale city, Arizona","249,955","252,381","2,426",1.0
200,"Pembroke Pines city, Florida","171,975","173,591","1,616",0.9
201,"Youngstown city, Ohio","64,860","65,469",609,0.9
202,"Tuscaloosa city, Alabama","100,190","101,129",939,0.9
203,"Boynton Beach city, Florida","77,949","78,679",730,0.9
204,"Sarasota city, Florida","57,746","58,285",539,0.9
205,"Lubbock city, Texas","256,469","258,862","2,393",0.9
206,"Oakland city, California","429,056","433,031","3,975",0.9
207,"Wilmington city, North Carolina","122,616","123,744","1,128",0.9
208,"Conway city, Arkansas","67,032","67,638",606,0.9
209,"Pinellas Park city, Florida","53,157","53,637",480,0.9
210,"Tallahassee city, Florida","192,763","194,500","1,737",0.9
211,"Medford city, Oregon","82,333","83,072",739,0.9
212,"Dothan city, Alabama","68,337","68,941",604,0.9
213,"Visalia city, California","133,428","134,605","1,177",0.9
214,"Stonecrest city, Georgia","54,424","54,903",479,0.9
215,"Indio city, California","90,970","91,765",795,0.9
216,"Lodi city, California","67,003","67,586",583,0.9
217,"Lakewood city, Washington","60,511","61,037",526,0.9
218,"Columbus city, Ohio","890,869","898,553","7,684",0.9
219,"Vancouver city, Washington","182,887","184,463","1,576",0.9
220,"Hillsboro city, Oregon","108,201","109,128",927,0.9
221,"Pearland city, Texas","121,424","122,460","1,036",0.9
222,"Ocala city, Florida","60,274","60,786",512,0.8
223,"Lee's Summit city, Missouri","98,522","99,357",835,0.8
224,"Vista city, California","100,784","101,638",854,0.8
225,"Missoula city, Montana","74,882","75,516",634,0.8
226,"Athens-Clarke County unified government (balance), Georgia","125,857","126,913","1,056",0.8
227,"Norman city, Oklahoma","123,844","124,880","1,036",0.8
228,"Missouri City city, Texas","74,834","75,457",623,0.8
229,"Hendersonville city, Tennessee","57,634","58,113",479,0.8
230,"Shoreline city, Washington","56,557","57,027",470,0.8
231,"Corona city, California","168,476","169,868","1,392",0.8
232,"Columbus city, Georgia","194,169","195,769","1,600",0.8
233,"Rancho Cordova city, California","74,478","75,087",609,0.8
234,"Edina city, Minnesota","52,430","52,857",427,0.8
235,"Coon Rapids city, Minnesota","62,491","62,998",507,0.8
236,"West Allis city, Wisconsin","59,410","59,890",480,0.8
237,"West Palm Beach city, Florida","111,058","111,955",897,0.8
238,"Blaine city, Minnesota","65,082","65,607",525,0.8
239,"Lakewood city, Colorado","156,682","157,935","1,253",0.8
240,"Tacoma city, Washington","216,111","217,827","1,716",0.8
241,"Rock Hill city, South Carolina","74,458","75,048",590,0.8
242,"Baytown city, Texas","76,592","77,192",600,0.8
243,"Hesperia city, California","95,013","95,750",737,0.8
244,"Greenville city, North Carolina","92,689","93,400",711,0.8
245,"Gilroy city, California","58,588","59,032",444,0.8
246,"Lincoln city, Nebraska","286,930","289,102","2,172",0.8
247,"West Jordan city, Utah","115,610","116,480",870,0.8
248,"Longmont city, Colorado","96,536","97,261",725,0.8
249,"Bellevue city, Washington","147,064","148,164","1,100",0.7
250,"Greensboro city, North Carolina","294,518","296,710","2,192",0.7
251,"Grand Junction city, Colorado","63,131","63,597",466,0.7
252,"Chino Hills city, California","83,239","83,853",614,0.7
253,"Collierville town, Tennessee","50,671","51,040",369,0.7
254,"Bloomington city, Indiana","85,139","85,755",616,0.7
255,"Casper city, Wyoming","57,515","57,931",416,0.7
256,"Vacaville city, California","99,949","100,670",721,0.7
257,"Olympia city, Washington","52,508","52,882",374,0.7
258,"Madison city, Wisconsin","257,854","259,680","1,826",0.7
259,"Arvada city, Colorado","120,421","121,272",851,0.7
260,"St. Cloud city, Florida","54,200","54,579",379,0.7
261,"Daytona Beach city, Florida","68,709","69,186",477,0.7
262,"Yucaipa city, California","53,557","53,921",364,0.7
263,"Merced city, California","83,113","83,676",563,0.7
264,"Springfield city, Oregon","62,806","63,230",424,0.7
265,"Kansas City city, Missouri","492,012","495,327","3,315",0.7
266,"Cambridge city, Massachusetts","118,151","118,927",776,0.7
267,"Ogden city, Utah","87,202","87,773",571,0.7
268,"Yuma city, Arizona","97,648","98,285",637,0.7
269,"Owensboro city, Kentucky","59,745","60,131",386,0.6
270,"Pensacola city, Florida","52,637","52,975",338,0.6
271,"Madera city, California","65,440","65,860",420,0.6
272,"High Point city, North Carolina","112,073","112,791",718,0.6
273,"Millcreek city, Utah","61,060","61,450",390,0.6
274,"Bakersfield city, California","381,714","384,145","2,431",0.6
275,"Joplin city, Missouri","50,604","50,925",321,0.6
276,"Jupiter town, Florida","65,377","65,791",414,0.6
277,"Fontana city, California","213,202","214,547","1,345",0.6
278,"Newark city, Ohio","50,001","50,315",314,0.6
279,"Laredo city, Texas","260,856","262,491","1,635",0.6
280,"Cheyenne city, Wyoming","63,835","64,235",400,0.6
281,"Indianapolis city (balance), Indiana","870,960","876,384","5,424",0.6
282,"Tampa city, Florida","397,232","399,700","2,468",0.6
283,"Sammamish city, Washington","65,495","65,892",397,0.6
284,"Las Cruces city, New Mexico","102,812","103,432",620,0.6
285,"Portland city, Oregon","650,837","654,741","3,904",0.6
286,"Washington city, District of Columbia","701,547","705,749","4,202",0.6
287,"Plantation city, Florida","94,019","94,580",561,0.6
288,"Tucson city, Arizona","544,858","548,073","3,215",0.6
289,"Winston-Salem city, North Carolina","246,535","247,945","1,410",0.6
290,"Nashville-Davidson metropolitan government (balance), Tennessee","667,006","670,820","3,814",0.6
291,"Pueblo city, Colorado","111,725","112,361",636,0.6
292,"Olathe city, Kansas","139,758","140,545",787,0.6
293,"Santa Fe city, New Mexico","84,211","84,683",472,0.6
294,"Sandy Springs city, Georgia","108,846","109,452",606,0.6
295,"Cincinnati city, Ohio","302,277","303,940","1,663",0.6
296,"Nashua city, New Hampshire","88,871","89,355",484,0.5
297,"Longview city, Texas","81,191","81,631",440,0.5
298,"Columbia city, Missouri","122,533","123,195",662,0.5
299,"Orlando city, Florida","285,903","287,442","1,539",0.5
300,"Eastvale city, California","63,815","64,157",342,0.5
301,"Clearwater city, Florida","116,324","116,946",622,0.5
302,"Plymouth city, Minnesota","79,345","79,768",423,0.5
303,"Richmond city, Virginia","229,221","230,436","1,215",0.5
304,"Abilene city, Texas","122,775","123,420",645,0.5
305,"Wellington village, Florida","65,058","65,398",340,0.5
306,"Fresno city, California","528,814","531,576","2,762",0.5
307,"McAllen city, Texas","142,530","143,268",738,0.5
308,"Riverside city, California","329,654","331,360","1,706",0.5
309,"Melbourne city, Florida","82,603","83,029",426,0.5
310,"Margate city, Florida","58,495","58,796",301,0.5
311,"Gastonia city, North Carolina","76,885","77,273",388,0.5
312,"Lenexa city, Kansas","55,349","55,625",276,0.5
313,"Deerfield Beach city, Florida","80,666","81,066",400,0.5
314,"Perris city, California","78,903","79,291",388,0.5
315,"Chattanooga city, Tennessee","181,918","182,799",881,0.5
316,"Elizabeth city, New Jersey","128,599","129,216",617,0.5
317,"Yuba City city, California","66,695","67,010",315,0.5
318,"Laguna Niguel city, California","66,079","66,385",306,0.5
319,"Walnut Creek city, California","69,843","70,166",323,0.5
320,"Fargo city, North Dakota","124,091","124,662",571,0.5
321,"Boca Raton city, Florida","99,351","99,805",454,0.5
322,"Miramar city, Florida","140,564","141,191",627,0.4
323,"Mission city, Texas","83,958","84,331",373,0.4
324,"Kent city, Washington","131,734","132,319",585,0.4
325,"Grand Rapids city, Michigan","200,136","201,013",877,0.4
326,"Augusta-Richmond County consolidated government (balance), Georgia","197,025","197,888",863,0.4
327,"Pompano Beach city, Florida","111,636","112,118",482,0.4
328,"Fayetteville city, North Carolina","210,748","211,657",909,0.4
329,"Frederick city, Maryland","71,945","72,244",299,0.4
330,"Tamarac city, Florida","66,447","66,721",274,0.4
331,"St. Cloud city, Minnesota","68,181","68,462",281,0.4
332,"Bismarck city, North Dakota","73,229","73,529",300,0.4
333,"Weymouth Town city, Massachusetts","57,511","57,746",235,0.4
334,"Orem city, Utah","97,430","97,828",398,0.4
335,"Logan city, Utah","51,334","51,542",208,0.4
336,"Upland city, California","76,833","77,140",307,0.4
337,"Oak Park village, Illinois","52,173","52,381",208,0.4
338,"Delray Beach city, Florida","69,176","69,451",275,0.4
339,"Newport News city, Virginia","178,523","179,225",702,0.4
340,"Cathedral City city, California","54,793","55,007",214,0.4
341,"Fairfield city, California","116,678","117,133",455,0.4
342,"Ames city, Iowa","66,001","66,258",257,0.4
343,"Homestead city, Florida","69,254","69,523",269,0.4
344,"Midwest City city, Oklahoma","57,186","57,407",221,0.4
345,"Modesto city, California","214,389","215,196",807,0.4
346,"St. Paul city, Minnesota","306,960","308,096","1,136",0.4
347,"Marietta city, Georgia","60,647","60,867",220,0.4
348,"Jackson city, Tennessee","66,952","67,191",239,0.4
349,"Victorville city, California","121,952","122,385",433,0.4
350,"O'Fallon city, Missouri","88,364","88,673",309,0.3
351,"Everett city, Washington","111,088","111,475",387,0.3
352,"Richmond city, California","110,189","110,567",378,0.3
353,"Stockton city, California","311,628","312,697","1,069",0.3
354,"Colton city, California","54,637","54,824",187,0.3
355,"Bayonne city, New Jersey","64,677","64,897",220,0.3
356,"Minnetonka city, Minnesota","53,883","54,064",181,0.3
357,"St. Petersburg city, Florida","264,466","265,351",885,0.3
358,"Sioux City city, Iowa","82,380","82,651",271,0.3
359,"Turlock city, California","73,396","73,631",235,0.3
360,"Wichita Falls city, Texas","104,356","104,683",327,0.3
361,"St. Charles city, Missouri","70,807","71,028",221,0.3
362,"Johns Creek city, Georgia","84,320","84,579",259,0.3
363,"Oshkosh city, Wisconsin","66,802","67,004",202,0.3
364,"Hoover city, Alabama","85,517","85,768",251,0.3
365,"Burnsville city, Minnesota","61,162","61,339",177,0.3
366,"Grand Prairie city, Texas","193,989","194,543",554,0.3
367,"Rialto city, California","103,232","103,526",294,0.3
368,"Hollywood city, Florida","154,381","154,817",436,0.3
369,"Methuen Town city, Massachusetts","50,565","50,706",141,0.3
370,"Davis city, California","69,220","69,413",193,0.3
371,"Palm Desert city, California","53,129","53,275",146,0.3
372,"El Paso city, Texas","679,875","681,728","1,853",0.3
373,"Smyrna city, Georgia","56,512","56,666",154,0.3
374,"Springdale city, Arkansas","80,907","81,125",218,0.3
375,"Beaverton city, Oregon","98,775","99,037",262,0.3
376,"Cedar Rapids city, Iowa","133,209","133,562",353,0.3
377,"Asheville city, North Carolina","92,630","92,870",240,0.3
378,"South San Francisco city, California","67,617","67,789",172,0.3
379,"Gainesville city, Florida","133,665","133,997",332,0.2
380,"Brownsville city, Texas","182,333","182,781",448,0.2
381,"Yonkers city, New York","199,883","200,370",487,0.2
382,"Naperville city, Illinois","148,090","148,449",359,0.2
383,"Pharr city, Texas","78,925","79,112",187,0.2
384,"Lansing city, Michigan","117,931","118,210",279,0.2
385,"Santee city, California","57,944","58,081",137,0.2
386,"Boise City city, Idaho","228,442","228,959",517,0.2
387,"Alexandria city, Virginia","159,069","159,428",359,0.2
388,"Lexington-Fayette urban county, Kentucky","322,426","323,152",726,0.2
389,"Kingsport city, Tennessee","54,006","54,127",121,0.2
390,"Johnson City city, Tennessee","66,759","66,906",147,0.2
391,"Hemet city, California","85,148","85,334",186,0.2
392,"Boston city, Massachusetts","691,147","692,600","1,453",0.2
393,"Springfield city, Missouri","167,539","167,882",343,0.2
394,"Providence city, Rhode Island","179,520","179,883",363,0.2
395,"Pawtucket city, Rhode Island","71,973","72,117",144,0.2
396,"National City city, California","61,272","61,394",122,0.2
397,"New Haven city, Connecticut","129,993","130,250",257,0.2
398,"Fort Smith city, Arkansas","87,720","87,891",171,0.2
399,"Tulsa city, Oklahoma","400,414","401,190",776,0.2
400,"Highland city, California","55,311","55,417",106,0.2
401,"Weston city, Florida","71,030","71,166",136,0.2
402,"San Marcos city, California","96,480","96,664",184,0.2
403,"Pittsburg city, California","72,450","72,588",138,0.2
404,"San Ramon city, California","75,851","75,995",144,0.2
405,"Omaha city, Nebraska","477,299","478,192",893,0.2
406,"Fort Lauderdale city, Florida","182,101","182,437",336,0.2
407,"Arlington city, Texas","398,123","398,854",731,0.2
408,"Wichita city, Kansas","389,231","389,938",707,0.2
409,"Novi city, Michigan","60,787","60,896",109,0.2
410,"Santa Barbara city, California","91,203","91,364",161,0.2
411,"Lake Forest city, California","85,381","85,531",150,0.2
412,"Taunton city, Massachusetts","57,365","57,464",99,0.2
413,"East Orange city, New Jersey","64,258","64,367",109,0.2
414,"Kokomo city, Indiana","57,922","58,020",98,0.2
415,"Macon-Bibb County, Georgia","152,903","153,159",256,0.2
416,"Lake Charles city, Louisiana","78,266","78,396",130,0.2
417,"Davie town, Florida","106,131","106,306",175,0.2
418,"Manchester city, New Hampshire","112,492","112,673",181,0.2
419,"Albuquerque city, New Mexico","559,629","560,513",884,0.2
420,"El Monte city, California","115,308","115,487",179,0.2
421,"Decatur city, Alabama","54,364","54,445",81,0.1
422,"Cranston city, Rhode Island","81,335","81,456",121,0.1
423,"Rancho Cucamonga city, California","177,345","177,603",258,0.1
424,"Janesville city, Wisconsin","64,483","64,575",92,0.1
425,"Apple Valley town, California","73,349","73,453",104,0.1
426,"Simi Valley city, California","125,438","125,613",175,0.1
427,"Haverhill city, Massachusetts","63,926","64,014",88,0.1
428,"San Diego city, California","1,421,917","1,423,851","1,934",0.1
429,"Redlands city, California","71,416","71,513",97,0.1
430,"Roanoke city, Virginia","99,009","99,143",134,0.1
431,"Hampton city, Virginia","134,330","134,510",180,0.1
432,"Kentwood city, Michigan","51,829","51,898",69,0.1
433,"Dallas city, Texas","1,341,802","1,343,573","1,771",0.1
434,"Knoxville city, Tennessee","187,362","187,603",241,0.1
435,"Temecula city, California","114,614","114,761",147,0.1
436,"Woodland city, California","60,474","60,548",74,0.1
437,"Santa Ana city, California","331,912","332,318",406,0.1
438,"Billings city, Montana","109,444","109,577",133,0.1
439,"Victoria city, Texas","66,835","66,916",81,0.1
440,"Centennial city, Colorado","110,814","110,937",123,0.1
441,"West New York town, New Jersey","52,668","52,723",55,0.1
442,"Roswell city, Georgia","94,665","94,763",98,0.1
443,"Citrus Heights city, California","87,707","87,796",89,0.1
444,"Galveston city, Texas","50,396","50,446",50,0.1
445,"San Francisco city, California","880,696","881,549",853,0.1
446,"Bethlehem city, Pennsylvania","75,742","75,815",73,0.1
447,"Yakima city, Washington","93,548","93,637",89,0.1
448,"Amarillo city, Texas","199,183","199,371",188,0.1
449,"Grand Island city, Nebraska","51,219","51,267",48,0.1
450,"Bellevue city, Nebraska","53,494","53,544",50,0.1
451,"Newark city, New Jersey","281,752","282,011",259,0.1
452,"Milford city (balance), Connecticut","53,148","53,195",47,0.1
453,"Pasadena city, California","140,906","141,029",123,0.1
454,"Lawton city, Oklahoma","92,945","93,025",80,0.1
455,"Corpus Christi city, Texas","326,307","326,586",279,0.1
456,"Yorba Linda city, California","67,589","67,644",55,0.1
457,"Des Plaines city, Illinois","58,854","58,899",45,0.1
458,"Rockville city, Maryland","68,028","68,079",51,0.1
459,"Houston city, Texas","2,318,573","2,320,268","1,695",0.1
460,"Quincy city, Massachusetts","94,403","94,470",67,0.1
461,"Coconut Creek city, Florida","61,205","61,248",43,0.1
462,"Salt Lake City city, Utah","200,435","200,567",132,0.1
463,"Bartlett city, Tennessee","59,403","59,440",37,0.1
464,"Bowie city, Maryland","58,610","58,643",33,0.1
465,"South Bend city, Indiana","101,971","102,026",55,0.1
466,"Valdosta city, Georgia","56,428","56,457",29,0.1
467,"Los Angeles city, California","3,977,596","3,979,576","1,980",-
468,"Warwick city, Rhode Island","80,966","81,004",38,-
